Generating Solution for Advent of Code 2020 - Day 5 / Part 1
Reading input file data/day5-input.txt to solve Day 5 Part 1
Boarding Card FBFBFFFLLL: row 40, col 0, Seat ID 320
Boarding Card BFFFFBFRRR: row 66, col 7, Seat ID 535
Boarding Card FBBFBBBRLL: row 55, col 4, Seat ID 444
Boarding Card FFFBFBBRLR: row 11, col 5, Seat ID 93
Boarding Card FBBBBFFRLR: row 60, col 5, Seat ID 485
Boarding Card FBBFFFBLLR: row 49, col 1, Seat ID 393
Boarding Card FFBBFFBLLR: row 25, col 1, Seat ID 201
Boarding Card BFBFFFBLRR: row 81, col 3, Seat ID 651
Boarding Card FFBFBBBRRR: row 23, col 7, Seat ID 191
Boarding Card BFBFBFBLRR: row 85, col 3, Seat ID 683
Boarding Card BFFBBFBLRR: row 77, col 3, Seat ID 619
Boarding Card FBFFBFFRLL: row 36, col 4, Seat ID 292
Boarding Card BFFBBBFRLR: row 78, col 5, Seat ID 629
Boarding Card FBFFFBFRLR: row 34, col 5, Seat ID 277
Boarding Card FFFBFBFRLL: row 10, col 4, Seat ID 84
Boarding Card FBBFBBFLLL: row 54, col 0, Seat ID 432
Boarding Card BFBBFFFLRL: row 88, col 2, Seat ID 706
Boarding Card FBBFBFFLRR: row 52, col 3, Seat ID 419
Boarding Card BBFFFBFRRR: row 98, col 7, Seat ID 791
Boarding Card FBBFBFBLRL: row 53, col 2, Seat ID 426
Boarding Card FBBBFBFLLR: row 58, col 1, Seat ID 465
Boarding Card FBFBBBBLLR: row 47, col 1, Seat ID 377
Boarding Card BBBFFFFLLR: row 112, col 1, Seat ID 897
Boarding Card BFBBFBFRRR: row 90, col 7, Seat ID 727
Boarding Card FFBFBFFRLR: row 20, col 5, Seat ID 165
Boarding Card FFBBFBBLLL: row 27, col 0, Seat ID 216
Boarding Card BFFFFFBLLR: row 65, col 1, Seat ID 521
Boarding Card FBBBFBFLLL: row 58, col 0, Seat ID 464
Boarding Card FBBFBBFRLR: row 54, col 5, Seat ID 437
Boarding Card BBFFFFFRLL: row 96, col 4, Seat ID 772
Boarding Card BFBFBFFLRR: row 84, col 3, Seat ID 675
Boarding Card FBFBBFFLRR: row 44, col 3, Seat ID 355
Boarding Card BBFBBFBRLR: row 109, col 5, Seat ID 877
Boarding Card BFFFBBFRLR: row 70, col 5, Seat ID 565
Boarding Card FBFFBBFRRR: row 38, col 7, Seat ID 311
Boarding Card FBFFFBFLLL: row 34, col 0, Seat ID 272
Boarding Card FBBFBBBRRR: row 55, col 7, Seat ID 447
Boarding Card BBFFFBBLRL: row 99, col 2, Seat ID 794
Boarding Card FFBFFBFLLR: row 18, col 1, Seat ID 145
Boarding Card BBFFBFFLLR: row 100, col 1, Seat ID 801
Boarding Card BBBFFBFRRL: row 114, col 6, Seat ID 918
Boarding Card FBFBBFBRRR: row 45, col 7, Seat ID 367
Boarding Card FBBBBBBRLL: row 63, col 4, Seat ID 508
Boarding Card FBFFFBBLRR: row 35, col 3, Seat ID 283
Boarding Card FFFBFFFLLL: row 8, col 0, Seat ID 64
Boarding Card BBFBBFFRLL: row 108, col 4, Seat ID 868
Boarding Card BBFFFBFRLL: row 98, col 4, Seat ID 788
Boarding Card BBFFFBFLLL: row 98, col 0, Seat ID 784
Boarding Card FFBBFBBRRL: row 27, col 6, Seat ID 222
Boarding Card FFFFBBFLRL: row 6, col 2, Seat ID 50
Boarding Card BFBBBBFLRL: row 94, col 2, Seat ID 754
Boarding Card BBFBBFFLLR: row 108, col 1, Seat ID 865
Boarding Card BBFFBFBRRR: row 101, col 7, Seat ID 815
Boarding Card FBFBBFFRLL: row 44, col 4, Seat ID 356
Boarding Card FBFBBFBLLL: row 45, col 0, Seat ID 360
Boarding Card BFBBBFFRRR: row 92, col 7, Seat ID 743
Boarding Card FFBBBFBRLL: row 29, col 4, Seat ID 236
Boarding Card FFBFBBBRRL: row 23, col 6, Seat ID 190
Boarding Card BFBBFBFRLR: row 90, col 5, Seat ID 725
Boarding Card BBFBFBFRLR: row 106, col 5, Seat ID 853
Boarding Card FBFBBBFLLR: row 46, col 1, Seat ID 369
Boarding Card FBFBBBFLRL: row 46, col 2, Seat ID 370
Boarding Card BBFFBBFRLR: row 102, col 5, Seat ID 821
Boarding Card FFBBFFFLRL: row 24, col 2, Seat ID 194
Boarding Card FFFFBBFLRR: row 6, col 3, Seat ID 51
Boarding Card FFFBBFFLRL: row 12, col 2, Seat ID 98
Boarding Card FFFBFBFRRR: row 10, col 7, Seat ID 87
Boarding Card FBBFFBBLRR: row 51, col 3, Seat ID 411
Boarding Card BBFBBFBLRR: row 109, col 3, Seat ID 875
Boarding Card BFFBBBFLRL: row 78, col 2, Seat ID 626
Boarding Card FBFFBFFRLR: row 36, col 5, Seat ID 293
Boarding Card FBFFFBFRRR: row 34, col 7, Seat ID 279
Boarding Card BFFBBFFRRL: row 76, col 6, Seat ID 614
Boarding Card BFFFBBFRLL: row 70, col 4, Seat ID 564
Boarding Card BFBFBBBLRR: row 87, col 3, Seat ID 699
Boarding Card FFBFFFBLRL: row 17, col 2, Seat ID 138
Boarding Card FBFBBFBRLL: row 45, col 4, Seat ID 364
Boarding Card FBBBBFBLLR: row 61, col 1, Seat ID 489
Boarding Card FFBFBFBLRL: row 21, col 2, Seat ID 170
Boarding Card FBFBBBFLRR: row 46, col 3, Seat ID 371
Boarding Card FFBBBBBLRR: row 31, col 3, Seat ID 251
Boarding Card FFBFFFBLLR: row 17, col 1, Seat ID 137
Boarding Card BBFFFBBRLL: row 99, col 4, Seat ID 796
Boarding Card BBFFBBFLLL: row 102, col 0, Seat ID 816
Boarding Card FFFBBFBLRL: row 13, col 2, Seat ID 106
Boarding Card FBBBFBFRRR: row 58, col 7, Seat ID 471
Boarding Card BBFBBBBRRR: row 111, col 7, Seat ID 895
Boarding Card FBBBFFBLLR: row 57, col 1, Seat ID 457
Boarding Card FBBBBFBLRL: row 61, col 2, Seat ID 490
Boarding Card FBFBFFFRRL: row 40, col 6, Seat ID 326
Boarding Card FBBFFFFLRR: row 48, col 3, Seat ID 387
Boarding Card BFFFBFBLRL: row 69, col 2, Seat ID 554
Boarding Card BFFBFFBRLL: row 73, col 4, Seat ID 588
Boarding Card BFBFFFBLRL: row 81, col 2, Seat ID 650
Boarding Card FBFBFBFRLL: row 42, col 4, Seat ID 340
Boarding Card BBFBFBFLLL: row 106, col 0, Seat ID 848
Boarding Card FBBBBBFRRL: row 62, col 6, Seat ID 502
Boarding Card BFFBFFFRLL: row 72, col 4, Seat ID 580
Boarding Card FBBBFBBRRL: row 59, col 6, Seat ID 478
Boarding Card BFBBFFBRLR: row 89, col 5, Seat ID 717
Boarding Card FFBFBFFLLL: row 20, col 0, Seat ID 160
Boarding Card FFBBBBBLLR: row 31, col 1, Seat ID 249
Boarding Card FFBFBFBRRL: row 21, col 6, Seat ID 174
Boarding Card FFFBFFBLRL: row 9, col 2, Seat ID 74
Boarding Card BBFFFBFLRL: row 98, col 2, Seat ID 786
Boarding Card FBFBFBBRRL: row 43, col 6, Seat ID 350
Boarding Card BFFBFFBRRL: row 73, col 6, Seat ID 590
Boarding Card BBFBFBBLRL: row 107, col 2, Seat ID 858
Boarding Card BBFBFBFRRR: row 106, col 7, Seat ID 855
Boarding Card FBFFBBFRLR: row 38, col 5, Seat ID 309
Boarding Card FBFBBFBLRR: row 45, col 3, Seat ID 363
Boarding Card FBBFFFFLLL: row 48, col 0, Seat ID 384
Boarding Card FFFBFFFLRR: row 8, col 3, Seat ID 67
Boarding Card FFFBBBBRRR: row 15, col 7, Seat ID 127
Boarding Card BBFFFBBRLR: row 99, col 5, Seat ID 797
Boarding Card FFBFFFFRLL: row 16, col 4, Seat ID 132
Boarding Card FBFFBFBRLR: row 37, col 5, Seat ID 301
Boarding Card FBFBFBBRLL: row 43, col 4, Seat ID 348
Boarding Card FBBBBFFLRR: row 60, col 3, Seat ID 483
Boarding Card FBBFBFBRLL: row 53, col 4, Seat ID 428
Boarding Card FBBBFBFLRL: row 58, col 2, Seat ID 466
Boarding Card BBFBBBFLLR: row 110, col 1, Seat ID 881
Boarding Card FFBFBBBLLR: row 23, col 1, Seat ID 185
Boarding Card BFFBBBFRRR: row 78, col 7, Seat ID 631
Boarding Card FFBBFBFLLL: row 26, col 0, Seat ID 208
Boarding Card BFBBBFBRLR: row 93, col 5, Seat ID 749
Boarding Card FFBFBBBRLL: row 23, col 4, Seat ID 188
Boarding Card FFBFBFFLRR: row 20, col 3, Seat ID 163
Boarding Card FBFBFBBLLL: row 43, col 0, Seat ID 344
Boarding Card BFBBBBFLLR: row 94, col 1, Seat ID 753
Boarding Card FFBBFBFRRR: row 26, col 7, Seat ID 215
Boarding Card FBFBFBBLRR: row 43, col 3, Seat ID 347
Boarding Card BFFFBFBLLR: row 69, col 1, Seat ID 553
Boarding Card BFFBFBFRRL: row 74, col 6, Seat ID 598
Boarding Card FFFBBBFRLR: row 14, col 5, Seat ID 117
Boarding Card FFFBBFFRRL: row 12, col 6, Seat ID 102
Boarding Card FFFBBBFLRL: row 14, col 2, Seat ID 114
Boarding Card FFFFBBFLLL: row 6, col 0, Seat ID 48
Boarding Card BBBFFFBLRR: row 113, col 3, Seat ID 907
Boarding Card FBFFFFBRRR: row 33, col 7, Seat ID 271
Boarding Card FFFFBBFRRL: row 6, col 6, Seat ID 54
Boarding Card FBFBBFFRLR: row 44, col 5, Seat ID 357
Boarding Card BFFBBBBLRL: row 79, col 2, Seat ID 634
Boarding Card FBFFFFBLRR: row 33, col 3, Seat ID 267
Boarding Card FFFBBFBLRR: row 13, col 3, Seat ID 107
Boarding Card FFFFBBFRLL: row 6, col 4, Seat ID 52
Boarding Card FFFBBFBRRR: row 13, col 7, Seat ID 111
Boarding Card FBFFBBBRRL: row 39, col 6, Seat ID 318
Boarding Card BBFFFFFLRL: row 96, col 2, Seat ID 770
Boarding Card BBFFBBFRRL: row 102, col 6, Seat ID 822
Boarding Card BFFFBBBLLL: row 71, col 0, Seat ID 568
Boarding Card FBBBBBBLRR: row 63, col 3, Seat ID 507
Boarding Card FBBBFFFRLL: row 56, col 4, Seat ID 452
Boarding Card FBFFBFFLRR: row 36, col 3, Seat ID 291
Boarding Card FFBFBBFLLL: row 22, col 0, Seat ID 176
Boarding Card FFBBBFBRRR: row 29, col 7, Seat ID 239
Boarding Card BFFFBFBRRR: row 69, col 7, Seat ID 559
Boarding Card BBFFBFBRRL: row 101, col 6, Seat ID 814
Boarding Card BFFFBBBRLR: row 71, col 5, Seat ID 573
Boarding Card FBFFFBBRRR: row 35, col 7, Seat ID 287
Boarding Card BBFBBFBRLL: row 109, col 4, Seat ID 876
Boarding Card BBFFBBBRRR: row 103, col 7, Seat ID 831
Boarding Card FBFFBFBLLR: row 37, col 1, Seat ID 297
Boarding Card FFBFFBBLRR: row 19, col 3, Seat ID 155
Boarding Card FBBFBBFLRL: row 54, col 2, Seat ID 434
Boarding Card FFBFFBFLLL: row 18, col 0, Seat ID 144
Boarding Card FFFBFFFRRL: row 8, col 6, Seat ID 70
Boarding Card BBBFFFBRLL: row 113, col 4, Seat ID 908
Boarding Card BFBFBBBRRL: row 87, col 6, Seat ID 702
Boarding Card FFBFBFBLLR: row 21, col 1, Seat ID 169
Boarding Card FFFBBBFRLL: row 14, col 4, Seat ID 116
Boarding Card BFFFBBFRRR: row 70, col 7, Seat ID 567
Boarding Card BFBBFFFRLR: row 88, col 5, Seat ID 709
Boarding Card FBBFFBBRLL: row 51, col 4, Seat ID 412
Boarding Card BFBBBBBLRL: row 95, col 2, Seat ID 762
